Time_Interval,Day_Name,Required_Agent,Scheduled_Agents,Actual_Post_Shrinkage
12:00:00 AM,Mon,7,11,8
12:00:00 AM,Tue,7,12,8
12:00:00 AM,Wed,8,7,5
12:00:00 AM,Thu,7,7,5
12:00:00 AM,Fri,8,11,8
12:00:00 AM,Sat,5,10,7
12:00:00 AM,Sun,5,7,5
12:30:00 AM,Mon,8,11,8
12:30:00 AM,Tue,8,12,8
12:30:00 AM,Wed,7,7,5
12:30:00 AM,Thu,8,7,5
12:30:00 AM,Fri,7,11,8
12:30:00 AM,Sat,5,10,7
12:30:00 AM,Sun,5,7,5
1:00:00 AM,Mon,8,11,8
1:00:00 AM,Tue,7,12,8
1:00:00 AM,Wed,8,7,5
1:00:00 AM,Thu,8,7,5
1:00:00 AM,Fri,8,11,8
1:00:00 AM,Sat,5,10,7
1:00:00 AM,Sun,5,7,5
1:30:00 AM,Mon,7,11,8
1:30:00 AM,Tue,7,12,8
1:30:00 AM,Wed,7,7,5
1:30:00 AM,Thu,8,7,5
1:30:00 AM,Fri,8,11,8
1:30:00 AM,Sat,5,10,7
1:30:00 AM,Sun,5,7,5
2:00:00 AM,Mon,8,11,8
2:00:00 AM,Tue,7,12,8
2:00:00 AM,Wed,8,7,5
2:00:00 AM,Thu,8,7,5
2:00:00 AM,Fri,7,11,8
2:00:00 AM,Sat,5,10,7
2:00:00 AM,Sun,5,7,5
2:30:00 AM,Mon,7,11,8
2:30:00 AM,Tue,7,12,8
2:30:00 AM,Wed,7,7,5
2:30:00 AM,Thu,7,7,5
2:30:00 AM,Fri,7,11,8
2:30:00 AM,Sat,5,10,7
2:30:00 AM,Sun,5,7,5
3:00:00 AM,Mon,7,11,8
3:00:00 AM,Tue,7,12,8
3:00:00 AM,Wed,8,7,5
3:00:00 AM,Thu,7,7,5
3:00:00 AM,Fri,7,11,8
3:00:00 AM,Sat,5,10,7
3:00:00 AM,Sun,6,7,5
3:30:00 AM,Mon,7,11,8
3:30:00 AM,Tue,7,12,8
3:30:00 AM,Wed,7,7,5
