Time_Interval,Day_Name,Offered_Calls,AHT
12:00:00 AM,Mon,12,360
12:00:00 AM,Tue,13,349
12:00:00 AM,Wed,14,351
12:00:00 AM,Thu,13,342
12:00:00 AM,Fri,13,344
12:00:00 AM,Sat,8,355
12:00:00 AM,Sun,7,349
12:30:00 AM,Mon,14,347
12:30:00 AM,Tue,14,349
12:30:00 AM,Wed,13,345
12:30:00 AM,Thu,13,347
12:30:00 AM,Fri,13,338
12:30:00 AM,Sat,7,361
12:30:00 AM,Sun,8,350
1:00:00 AM,Mon,13,353
1:00:00 AM,Tue,12,359
1:00:00 AM,Wed,13,347
1:00:00 AM,Thu,13,354
1:00:00 AM,Fri,14,344
1:00:00 AM,Sat,8,336
1:00:00 AM,Sun,7,359
1:30:00 AM,Mon,12,353
1:30:00 AM,Tue,12,346
1:30:00 AM,Wed,12,343
1:30:00 AM,Thu,14,350
1:30:00 AM,Fri,13,350
1:30:00 AM,Sat,8,335
1:30:00 AM,Sun,8,347
2:00:00 AM,Mon,13,351
2:00:00 AM,Tue,13,357
2:00:00 AM,Wed,13,353
2:00:00 AM,Thu,14,351
2:00:00 AM,Fri,13,343
2:00:00 AM,Sat,8,340
2:00:00 AM,Sun,7,341
2:30:00 AM,Mon,12,341
2:30:00 AM,Tue,12,338
2:30:00 AM,Wed,12,350
2:30:00 AM,Thu,12,354
2:30:00 AM,Fri,12,348
2:30:00 AM,Sat,8,345
2:30:00 AM,Sun,8,343
3:00:00 AM,Mon,13,346
3:00:00 AM,Tue,12,354
3:00:00 AM,Wed,14,359
3:00:00 AM,Thu,12,358
3:00:00 AM,Fri,13,351
3:00:00 AM,Sat,8,347
3:00:00 AM,Sun,9,352
3:30:00 AM,Mon,12,355
3:30:00 AM,Tue,12,348
3:30:00 AM,Wed,12,360
3:30:00 AM,Thu,11,337
3:30:00 AM,Fri,12,353
3:30:00 AM,Sat,8,360
3:30:00 AM,Sun,8,341
4:00:00 AM,Mon,13,344
4:00:00 AM,Tue,13,349
4:00:00 AM,Wed,12,343
4:00:00 AM,Thu,12,350
4:00:00 AM,Fri,13,341
4:00:00 AM,Sat,8,341
4:00:00 AM,Sun,7,334
4:30:00 AM,Mon,13,341
4:30:00 AM,Tue,13,364
4:30:00 AM,Wed,13,339
4:30:00 AM,Thu,13,345
4:30:00 AM,Fri,14,343
4:30:00 AM,Sat,8,340
4:30:00 AM,Sun,8,352
5:00:00 AM,Mon,14,342
5:00:00 AM,Tue,13,361
5:00:00 AM,Wed,12,348
5:00:00 AM,Thu,13,344
5:00:00 AM,Fri,14,352
5:00:00 AM,Sat,8,346
5:00:00 AM,Sun,8,353
5:30:00 AM,Mon,13,347
5:30:00 AM,Tue,12,349
5:30:00 AM,Wed,14,360
5:30:00 AM,Thu,13,362
5:30:00 AM,Fri,13,357
5:30:00 AM,Sat,7,344
5:30:00 AM,Sun,8,350
6:00:00 AM,Mon,13,347
6:00:00 AM,Tue,12,348
6:00:00 AM,Wed,14,352
6:00:00 AM,Thu,14,363
6:00:00 AM,Fri,13,352
6:00:00 AM,Sat,8,343
6:00:00 AM,Sun,8,351
6:30:00 AM,Mon,55,357
6:30:00 AM,Tue,50,365
6:30:00 AM,Wed,51,345
6:30:00 AM,Thu,53,349
6:30:00 AM,Fri,54,353
6:30:00 AM,Sat,48,345
6:30:00 AM,Sun,49,363
7:00:00 AM,Mon,51,343
7:00:00 AM,Tue,54,352
7:00:00 AM,Wed,51,351
7:00:00 AM,Thu,56,356
7:00:00 AM,Fri,55,351
7:00:00 AM,Sat,48,352
7:00:00 AM,Sun,49,347
7:30:00 AM,Mon,48,353
7:30:00 AM,Tue,55,336
7:30:00 AM,Wed,56,344
7:30:00 AM,Thu,51,349
7:30:00 AM,Fri,49,362
7:30:00 AM,Sat,56,349
7:30:00 AM,Sun,55,345
8:00:00 AM,Mon,54,351
8:00:00 AM,Tue,56,355
8:00:00 AM,Wed,51,340
8:00:00 AM,Thu,49,345
8:00:00 AM,Fri,48,349
8:00:00 AM,Sat,52,343
8:00:00 AM,Sun,51,343
8:30:00 AM,Mon,52,346
8:30:00 AM,Tue,53,355
8:30:00 AM,Wed,54,354
8:30:00 AM,Thu,53,348
8:30:00 AM,Fri,47,349
8:30:00 AM,Sat,50,338
8:30:00 AM,Sun,50,334
9:00:00 AM,Mon,50,355
9:00:00 AM,Tue,50,346
